family,total_sales
GROCERY I,350827297.98999995
BEVERAGES,221663540.0
PRODUCE,125447968.02496989
CLEANING,99421019.0
DAIRY,65823605.0
BREAD/BAKERY,42959924.00492896
POULTRY,32494450.88882898
MEATS,31650996.2860629
PERSONAL CARE,25100482.0
DELI,24585626.80473697
HOME CARE,16409522.0
EGGS,15881196.0
FROZEN FOODS,14646939.998968503
PREPARED FOODS,8966728.1089125
"LIQUOR,WINE,BEER",7937172.0
SEAFOOD,2051636.0988411994
GROCERY II,2004966.0
HOME AND KITCHEN I,1905076.0
HOME AND KITCHEN II,1556511.0
CELEBRATION,779502.0
LADIESWEAR,668542.0
LINGERIE,664595.0
PLAYERS AND ELECTRONICS,577083.0
AUTOMOTIVE,566398.0
LAWN AND GARDEN,559639.0
PET SUPPLIES,365607.0
BEAUTY,345629.0
SCHOOL AND OFFICE SUPPLIES,274474.0
MAGAZINES,273946.0
HARDWARE,105476.0
HOME APPLIANCES,42326.0
BABY CARE,10330.0
BOOKS,6540.0
